SIS Login ID,Section,YOUR-CHOICE -- Zoo Visit (3435908),YOUR-CHOICE -- Greenhouse Inventory (3435906),YOUR-CHOICE -- Citation Manager (3435905),YOUR-CHOICE -- Introduction to R (3435907),YOUR-CHOICE -- Critical Book Report(s) (3436027),YOUR-CHOICE -- Mauna Loa Observatory (3436081),YOUR-CHOICE -- Interviews (3436093),Quiz 1 (3435895),Quiz 2 (3435897),Quiz 3 (3435898),Quiz 4 (3435899),Quiz 5 (3435900),Quiz 6 (3435901),Quiz 7 (3435902),Quiz 8 (3435903),Quiz 9 (3435904),Quiz 10 (3435896),Pre-Test (3435894),Post-Test (3608061),YOUR-CHOICE -- Midterm (3580296),YOUR-CHOICE -- Final (3580295),Exam 1 (3435890),Exam 2 (3435891),Exam 3 (3435892),Exam 4 (3435893),Assignments Current Points,Assignments Final Points,Assignments Current Score,Assignments Final Score,Quizzes Current Points,Quizzes Final Points,Quizzes Current Score,Quizzes Final Score,Exams Current Points,Exams Final Points,Exams Current Score,Exams Final Score,Pre- Post-Tests Current Points,Pre- Post-Tests Final Points,Pre- Post-Tests Current Score,Pre- Post-Tests Final Score,Your-Choice Current Points,Your-Choice Final Points,Your-Choice Current Score,Your-Choice Final Score,Current Points,Final Points,Current Score,Final Score
10575801,BIOL-1620-003,,,,,,,,0,0,0,0,0,0,0,0,0,0,50,0,0,0,41,35,0,0,0,0,,,0,0,0,0,76,76,19,19,50,50,50,50,0,0,0,0,126,126,18,18
10729622,BIOL-1620-003,10,10,10,30,60,10,20,0,4,8,6,6,10,4,10,10,10,50,46,50,100,78,76,72,62,0,0,,,68,68,68,68,288,288,72,72,96,96,96,96,150,150,150,150,602,602,86,86
10633911,BIOL-1620-003,,,,,,,,3,4,0,0,4,10,0,10,10,10,50,40,0,0,60,47,35,64,0,0,,,51,51,51,51,206,206,51.5,51.5,90,90,90,90,0,0,0,0,347,347,49.57,49.57
10535005,BIOL-1620-003,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,25,0,45,0,0,,,0,0,0,0,86,86,21.5,21.5,0,0,0,0,0,0,0,0,86,86,12.29,12.29
10788859,BIOL-1620-003,10,,,30,,,,1,2,8,4,2,10,0,10,10,0,50,0,40,0,46,44,0,0,0,0,,,47,47,47,47,90,90,22.5,22.5,50,50,50,50,40,40,40,40,227,227,32.43,32.43
10788638,BIOL-1620-003,,,,,,,,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,,,20,20,20,20,0,0,0,0,0,0,0,0,0,0,0,0,20,20,2.86,2.86
10753922,BIOL-1620-003,10,10,,30,60,10,10,0,4,6,2,6,10,8,10,10,10,50,38,50,80,86,77,88,76,0,0,,,66,66,66,66,327,327,81.75,81.75,88,88,88,88,130,130,130,130,611,611,87.29,87.29
10773663,BIOL-1620-003,8,10,,24,110,,8,0,5,6,6,0,0,8,10,10,10,50,42,40,136,65,67,67,78,0,0,,,55,55,55,55,277,277,69.25,69.25,92,92,92,92,176,176,176,176,600,600,85.71,85.71
10799479,BIOL-1620-003,,,,30,110,,,4,9,9,4,7,10,0,10,10,10,50,40,50,90,81,87,95,54,0,0,,,73,73,73,73,317,317,79.25,79.25,90,90,90,90,140,140,140,140,620,620,88.57,88.57
10740874,BIOL-1620-003,10,10,,,140,,10,0,0,0,6,4,10,10,10,10,10,50,44,60,90,68,64,76,76,0,0,,,60,60,60,60,284,284,71,71,94,94,94,94,150,150,150,150,588,588,84,84
10783646,BIOL-1620-003,10,10,,30,90,10,10,0,1,4,4,2,10,2,10,10,10,50,36,50,100,72,65,68,64,0,0,,,53,53,53,53,269,269,67.25,67.25,86,86,86,86,150,150,150,150,558,558,79.71,79.71
10783179,BIOL-1620-003,,,,30,,5,,2,4,6,6,6,0,0,10,10,0,50,42,35,0,79,67,61,60,0,0,,,44,44,44,44,267,267,66.75,66.75,92,92,92,92,35,35,35,35,438,438,62.57,62.57
10653492,BIOL-1620-003,10,10,,30,90,,10,3,4,5,4,8,10,6,10,10,10,50,26,50,100,63,51,43,41,0,0,,,70,70,70,70,198,198,49.5,49.5,76,76,76,76,150,150,150,150,494,494,70.57,70.57
10605022,BIOL-1620-003,10,,,,30,,20,0,3,4,6,2,10,6,10,10,10,50,28,60,0,41,30,53,47,0,0,,,61,61,61,61,171,171,42.75,42.75,78,78,78,78,60,60,60,60,370,370,52.86,52.86
10816265,BIOL-1620-003,,,,30,100,,10,4,8,6,8,8,10,6,10,10,10,50,46,40,100,87,94,86,80,0,0,,,80,80,80,80,347,347,86.75,86.75,96,96,96,96,140,140,140,140,663,663,94.71,94.71
10820583,BIOL-1620-003,10,,,30,,,,0,0,0,0,0,0,0,0,0,0,50,0,40,0,40,43,0,0,0,0,,,0,0,0,0,83,83,20.75,20.75,50,50,50,50,40,40,40,40,173,173,24.71,24.71
10762718,BIOL-1620-003,,10,,30,80,10,,4,0,0,6,8,10,8,10,10,10,50,32,50,80,37,55,81,66,0,0,,,66,66,66,66,239,239,59.75,59.75,82,82,82,82,130,130,130,130,517,517,73.86,73.86
10673494,BIOL-1620-003,10,10,,30,60,10,32,1,3,0,6,6,10,8,10,10,10,50,44,72,78,81,68,84,68,0,0,,,64,64,64,64,301,301,75.25,75.25,94,94,94,94,150,150,150,150,609,609,87,87
10555480,BIOL-1620-003,,,,30,110,10,,2,7,10,10,8,10,8,10,10,10,50,48,60,90,80,90,97,79,0,0,,,85,85,85,85,346,346,86.5,86.5,98,98,98,98,150,150,150,150,679,679,97,97
10651493,BIOL-1620-003,10,10,,30,80,,10,0,1,6,4,6,10,2,10,10,10,50,32,50,100,71,54,57,70,0,0,,,59,59,59,59,252,252,63,63,82,82,82,82,150,150,150,150,543,543,77.57,77.57
10685252,BIOL-1620-003,,,,30,,,10,0,0,6,4,0,0,0,0,0,0,50,0,40,0,43,0,0,0,0,0,,,10,10,10,10,43,43,10.75,10.75,50,50,50,50,40,40,40,40,143,143,20.43,20.43
10810210,BIOL-1620-003,,10,10,30,,5,20,2,7,10,0,10,10,6,10,10,10,50,42,55,20,86,84,90,75,0,0,,,75,75,75,75,335,335,83.75,83.75,92,92,92,92,75,75,75,75,577,577,82.43,82.43
